Facility/Project Name,CWNS Number,Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
BENICIA WWTF,06002082001,"13,682",,"5,867",,"13,682",0,13682,"23,775",,"5,800",,"23,775",0,23775,CA0038091,Individual Permit,"BENICIA, CITY OF",Solano,Suisun Bay,18050001,5th Congressional District,CA,9,MAP
Ironhouse WWTP,06002090001,"40,000",,,,"40,000",0,40000,"80,000",,,,"80,000",0,80000,,,Ironhouse Sanitary District,Contra Costa,San Joaquin Delta,18040003,9th Congressional District,CA,9,MAP
BOLINAS WWTF,06002092001,645,,136,,645,0,645,699,,136,,699,0,699,,,BOLINAS COMM PUD,Marin,Tomales-Drake Bays,18050005,2nd Congressional District,CA,9,MAP
LAS GALLINAS VALLEY WWTF,06002108001,"30,000",,,,"30,000",0,30000,"39,000",,,,"39,000",0,39000,CA0037851,Individual Permit,LAS GALLINAS VALLEY SD,Marin,Tomales-Drake Bays,18050005,2nd Congressional District,CA,9,MAP
Livermore WRP,06002109001,"80,968",,,,"80,968",0,80968,"105,000",,,,"105,000",0,105000,CA0038008,Individual Permit,"LIVERMORE, CITY OF",Alameda,San Francisco Bay,18050004,15th Congressional District,CA,9,MAP
Mountain View Collection System,06002113001,"73,409",,,,"73,409",73409,0,"75,745",,,,"75,745",75745,0,,,"Mountain View, City of",Santa Clara,Coyote,18050003,18th Congressional District,CA,9,MAP
Ellis Creek WRF,06002118001,"58,165","1,297",,,"59,462",0,59462,"61,558","1,678",,,"63,236",0,63236,CA0037810,Individual Permit,"Petaluma, City of",Sonoma,Russian,18010110,2nd Congressional District,CA,9,MAP
PINOLE WWTF,06002120001,"18,560","24,727",894,,"43,287",0,43287,"19,422","26,000",894,,"45,422",0,45422,CA0037796,Individual Permit,PINOLE/HERCULES WPCP,Contra Costa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
Sunol Blvd Collection System,06002121001,"71,269",,412,,"71,269",71269,0,"78,681",,412,,"78,681",78681,0,,,"PLEASANTON, CITY OF",Alameda,San Francisco Bay,18050004,15th Congressional District,CA,9,MAP
S.F. International Airport WQCP,06002123001,,,,,,,,,,,,,,,CA0038318,Individual Permit,San Francisco International Airport,San Mateo,San Francisco Bay,18050004,14th Congressional District,CA,9,MAP
S BAYSIDE WWTP,06002125001,,"205,108",,,"205,108",0,205108,,"212,725",,,"212,725",0,212725,CA0038369,Individual Permit,South Bayside System Authority,San Mateo,San Francisco Bay,18050004,14th Congressional District,CA,9,MAP
YOUNTVILLE-VETERANS WWTF,06002127001,"2,999",,,,"2,999",0,2999,"2,880",,,,"2,880",0,2880,CA0038121,Individual Permit,"YOUNTVILLE, TOWN OF",Napa,San Pablo Bay,18050002,5th Congressional District,CA,9,MAP
S. MARIN SUBREG OUTFALL,06002155001,"28,000",,,,"28,000",0,28000,"28,000",,,,"28,000",0,28000,CA0037711,Individual Permit,SO.MARIN SUBREG SEW.AGENC,Marin,San Pablo Bay,18050002,2nd Congressional District,CA,9,MAP
LOG CABIN RANCH WWTF,06002166001,220,,,,220,0,220,265,,,,265,0,265,,,"SAN FRANCISCO, CITY & COUNTY OF",San Mateo,Coyote,18050003,18th Congressional District,CA,9,MAP
Lake Cachuma County Park WWTF,06003003001,290,,,,290,0,290,340,,,,340,0,340,,,Santa Barbara County Parks,Santa Barbara,Santa Ynez,18060010,24th Congressional District,CA,9,MAP
San Luis Obispo WRF,06003004001,"43,000",,"2,500",,"43,000",0,43000,"45,250",,"2,000",,"45,250",0,45250,CA0049224,Individual Permit,"San Luis Obispo, City of",San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
ATASCADERO WWTF,06003005001,"16,000","3,500","13,000",,"19,500",0,19500,"23,520","3,710","19,111",,"27,230",0,27230,,,ATASCADERO CSD,San Luis Obispo,Salinas,18060005,24th Congressional District,CA,9,MAP
SCOTTS VALLEY WWTF,06003008001,"11,641",,"5,577",,"11,641",0,11641,"12,426",,"5,577",,"12,426",0,12426,CA0048828,Individual Permit,"SCOTTS VALLEY, CITY OF",Santa Cruz,San Lorenzo-Soquel,18060001,18th Congressional District,CA,9,MAP
SOLEDAD WWTF,06003009001,"26,239","13,944",707,,"40,183",0,40183,"28,962","13,944",707,,"42,906",0,42906,,,"SOLEDAD, CITYOF",Monterey,Salinas,18060005,20th Congressional District,CA,9,MAP
SANTA CRUZ WWTF,06003010001,"72,667","62,408",54,,"135,075",0,135075,"78,187","66,965",54,,"145,152",0,145152,CA0048194,Individual Permit,"SANTA CRUZ, CITY OF",Santa Cruz,San Lorenzo-Soquel,18060001,20th Congressional District,CA,9,MAP
MRWCPA WWTF,06003012001,"250,000","73,173",,,"323,173",0,323173,"335,000","79,712",,,"414,712",0,414712,CA0048551,Individual Permit,Monterey Regional Water Pollution Control Agency,Monterey,Carmel,18060012,20th Congressional District,CA,9,MAP
Morro Bay Cayucos WWTF,06003014001,"10,274","3,400",,,"13,674",0,13674,"11,500","4,959",,,"16,459",0,16459,CA0047881,Individual Permit,"Morro Bay, City of",San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
BUELLTON WWTF,06003016001,"3,628",,199,,"3,628",0,3628,"4,400",,199,,"4,400",0,4400,,,"Buellton, City of",Santa Barbara,Santa Ynez,18060010,24th Congressional District,CA,9,MAP
CARMEL WWTF,06003017001,"17,000","7,000",,,"24,000",0,24000,"22,270","7,162",,,"29,432",0,29432,CA0047996,Individual Permit,CARMEL SAN DIST,Monterey,Carmel,18060012,20th Congressional District,CA,9,MAP
CHUALAR TREATMENT PONDS,06003019001,"1,190",,,,"1,190",0,1190,"1,595",,,,"1,595",0,1595,,,Chualar County Service Area 75,Monterey,Alisal-Elkhorn Sloughs,18060011,20th Congressional District,CA,9,MAP
