,REGION,STATE,PRIMARY_COUNTY,SECONDARY_COUNTIES,AUTHORITY,POINT_OF_CONTACT_NAME,POINT_OF_CONTACT_STREET_1,POINT_OF_CONTACT_STREET_2,POINT_OF_CONTACT_CITY,POINT_OF_CONTACT_STATE,POINT_OF_CONTACT_ZIP,POINT_OF_CONTACT_PHONE,POINT_OF_CONTACT_FAX,POINT_OF_CONTACT_EMAIL,FACILITY_NAME,CWNS_NUMBER,OWNER_TYPE,PRIMARY_WATERSHED_HUC,PRIMARY_WATERSHED_NAME,SECONDARY_WATERSHEDS,PRIMARY_CONGRESSIONAL_DISTRICT,SECONDARY_CONGRESSIONAL_DIST,NPDES_PERMIT_NUMBER,PERMIT_TYPE,FACILITY_STREET_1,FACILITY_STREET_2,FACILITY_CITY,FACILITY_STATE,FACILITY_ZIP,SYSTEM_NAME,FACILITY_DESCRIPTION,MILITARY_IND,TMDL_IND,SOURCE_WATER_PROTECTION_IND,SMALL_COMMUNITY_EXCEPTION_IND,PRES_FACILITY_TYPE,PRES_FACILITY_OVERALL_TYPE,PRES_TREATMENT_PLANT_TYPE,PROJ_FACILITY_TYPE,PROJ_FACILITY_OVERALL_TYPE,PROJ_TREATMENT_PLANT_TYPE,COORDINATE_TYPE,LOCATION_DESCRIPTION,LATITUDE,LONGITUDE,HORIZONTAL_COORDINATE_DATUM,HORIZONTAL_COLLECTION_METHOD,SCALE,GEOGRAPHIC_LOCATION_SOURCE,MEASUREMENT_DATE,TRIBE_IND,SPECIAL_PROGRAM_AREAS,FACILITY_ID,REVIEW_STATUS,SMALL_COMMUNITY_IND,POTW_PRESENT_IND,POTW_PROJECTED_IND,DECENTRALIZED_ONLY_IND,CITIES_TOWNS
10,9,CA,Sonoma,,Camp Meeker Recreation & Park District,Gary Helfrich,P.O. Box 461,,Camp Meeker,CA,95419,7078749246,,HELFRICH@SONIC.NET,Camp Meeker Collection System,06001017002,Public,18010110,Russian,,2nd Congressional District,,,,,,,,,,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Facility/Station Location,38.4242 N,122.9597 W,North American Datum of 1983,Interpolation-Map, ,Manual,01-FEB-05,N,San Francisco Estuary,480835,Federal Accepted,Y,,,N,
11,9,CA,Riverside,,County of Riverside,Alex Gann,4080 Lemon Street,Fourth Floor,Riverside,CA,92501,9099551180,9099551105,AGANN@RCEO.ORG,San Jacinto Watershed Protection,06012004020,Public,18070202,San Jacinto,,41st Congressional District,,,,,,,,,,,N,N,N,N,Unregulated Community Stormwater,Stormwater,,Unregulated Community Stormwater,Stormwater,,Single Point,Center/Centroid,33.7383 N,117.2525 W,North American Datum of 1983,Interpolation-Map, ,Manual,01-FEB-05,N,,481267,Federal Accepted,N,,,N,
12,9,CA,San Bernardino,,"City of Chino, Public Works Department",Jesus Plasencia,P.O. Box 667,,Chino,CA,91708-0667,9094640781,9095905535,JPLASENCIA@CITYOFCHINO.ORG,Chino Storm Water System,06028009001,Public,18070203,Santa Ana,,31st Congressional District,8th Congressional District,CAS618036,Individual Permit,MS4/SB COUNTY FLOOD CNTRL DIST,,SAN BERNARDINO,CA,92415,,,N,N,N,N,Phase I MS4,Stormwater,,Phase I MS4,Stormwater,,,,,,,,,,,N,,425890,Federal Accepted,N,,,N,
13,9,CA,Solano,Riverside,Vallejo Sanitation & Flood Control District,Ronald Matheson,450 Ryder Street,,Vallejo,CA,94590,7076448949,7076448975,RMATHESON@VSFCD.COM,Vallejo Storm Water System,06022047001,Public,18050002,San Pablo Bay,,41st Congressional District,,CAS108766,Individual Permit,SAN DIEGO,1995 MARKET STREET RIVERSIDE,SAN DIEGO,CA,,,,N,N,N,N,Phase I MS4,Stormwater,,Phase I MS4,Stormwater,,Single Point,Facility/Station Location,34.0023 N,117.3761 W,North American Datum of 1983,Address Matching-House Number,,NPDES Permit,,N,San Francisco Estuary,427722,Federal Accepted,N,,,N,
14,9,CA,Santa Cruz,,Santa Cruz County,Rachel Lather-Hidalgo,"701 Ocean Street, Room 410",,Santa Cruz,CA,95060,8314542160,8314542089,RACHEL.LATHER@CO.SANTA-CRUZ.CA.US,Santa Cruz CSA #10 Coll. System,06003038006,Public,18060001,San Lorenzo-Soquel,,18th Congressional District,,,,,,,,,,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Facility/Station Location,37.0169 N,122.0321 W,North American Datum of 1983,Address Matching-Nearest Intersection, ,Manual,17-DEC-04,N,,441073,Federal Accepted,Y,,,N,
15,9,CA,San Mateo,,City of Redwood City,Peter Ingram,1400 Broadway Street,,Redwood City,CA,94063,6507807464,6507807445,PINGRAM@REDWOODCITY.ORG,Redwood City Recycled Water System,06002016002,Public,18050004,San Francisco Bay,,14th Congressional District,,,,,,,,,South Bayside System Authority,,N,N,N,Y,Recycled Water Distribution,Wastewater,,Recycled Water Distribution,Wastewater,,Single Point,Center/Centroid,37.4853 N,122.2364 W,North American Datum of 1983,Interpolation-Map, ,Manual,07-FEB-05,N,San Francisco Estuary,484140,Federal Accepted,N,,,N,
16,9,CA,Contra Costa,San Francisco,SAN FRANCISCO P.U.C.,Susan Leal,"1155 Market Street, 4nd Floor",,San Francisco,CA,94103,4155543160,,SLEAL@SFWATER.ORG,Treasure Island WWTF,06002032004,Public,18050004,San Francisco Bay,,12th Congressional District,,CA0110116,Individual Permit,1220 AVENUE M,"END OF M ST, TREASURE ISLAND",SAN FRANCISCO,CA,94130,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Facility/Station Location,37.8187 N,122.3734 W,North American Datum of 1983,Address Matching-House Number,,NPDES Permit,,N,San Francisco Estuary,442052,Federal Accepted,Y,Y,Y,N,
17,9,CA,Riverside,,Eastern Municipal Water District,John Jannone,P.O. Box 8300,,Perris,CA,92572-8300,9519283777,9519286177,JANNONEJ@EMWD.ORG,Enchanted Heights Collection System,06008097001,Public,18070202,San Jacinto,,41st Congressional District,,,,,,,,,,OWTS will be abandoned and properties will be connected to the sewer system. Funding has been provided therefore zero needs are reported. Facility types set to no change to get rid of needs error.,N,N,N,N,"Collection: Separate Sewers, Onsite Wastewater Treatment System","Decentralized Wastewater Treatment, Wastewater",,"Collection: Separate Sewers, Onsite Wastewater Treatment System","Decentralized Wastewater Treatment, Wastewater",,Single Point,Facility/Station Location,33.7965 N,117.2835 W,World Geodetic System of 1984,Zipcode-Centroid, ,Manual,06-OCT-04,N,,409270,Federal Accepted,Y,,,N,Unincorporated areas
18,9,CA,San Bernardino,,Inland Empire Utilities Agency,Tom Love,P.O. Box 9020,,Chino Hills,CA,91709,9099931730,9095978875,TLOVE@IEUA.ORG,IEUA Regional Recycled Water System,06008010010,Public,18070203,Santa Ana,,35th Congressional District,39th Congressional District,,,14950 Telephone Ave,,Chino,CA,91710,Inland Empire Utilities Agency,,N,N,N,N,Recycled Water Distribution,Wastewater,,Recycled Water Distribution,Wastewater,,Single Point,Center/Centroid,34.0722 N,117.6906 W,North American Datum of 1983,Interpolation-Map, ,Manual,15-OCT-04,N,,410753,Federal Accepted,N,,,N,
19,9,CA,San Bernardino,,"City of San Bernardino, Public Works Division",Camacho Lupe,300 North D Street,,San Bernardino,CA,92418,9093845110,9193845155,CAMACHO_LU@SBCITY.ORG,San Bernardino Storm Water System,06028004001,Public,18070203,Santa Ana,,8th Congressional District,31st Congressional District,CAS618036,Individual Permit,MS4/SB COUNTY FLOOD CNTRL DIST,,SAN BERNARDINO,CA,92415,,,N,N,N,N,Phase I MS4,Stormwater,,Phase I MS4,Stormwater,,,,,,,,,,,N,,457939,Federal Accepted,N,,,N,
20,9,CA,Ventura,,Calleguas Municipal Water District,Donald Kendall,2100 Olsen Road,,Thousand Oaks,CA,91360,8055269323,8055225730,,Calleguas Salinity Mngmt. Project,06012004008,Public,18070103,Calleguas,,26th Congressional District,25th Congressional District,,,,,,,,,,N,N,N,N,Unregulated Community Stormwater,Stormwater,,Unregulated Community Stormwater,Stormwater,,Single Point,Center/Centroid,34.1919 N,119.0203 W,North American Datum of 1983,Unknown, ,Manual,22-OCT-04,N,,412595,Federal Accepted,N,,,N,
21,9,CA,Alameda,,"Piedmont, City of",Larry Rosenberg,120 Vista Avenue,,Piedmont,CA,94611-4031,5104203050,5106583167,LROSENBERG@CI.PIEDMONT.CA.US,Piedmont Collection System,06002176001,Public,18050004,San Francisco Bay,,13th Congressional District,,,,,,,,,,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Center/Centroid,37.8243 N,122.2332 W,World Geodetic System of 1984,Address Matching-Block Face, ,Manual,25-OCT-04,N,San Francisco Estuary,412968,Federal Accepted,N,,,N,
22,9,CA,Siskiyou,,"WEED, CITY OF",Craig Sharp,P.O.Box 470,,Weed,CA,96094-0470,5309385028,,,WEED WWTF,06001054001,Public,18010207,Shasta,,1st Congressional District,,,,County Road 20,,Weed,CA,96094,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,41.4481 N,122.4536 W,North American Datum of 1983,Zipcode-Centroid, ,Manual,27-SEP-01,N,,1175220,Federal Accepted,Y,Y,Y,N,
23,9,CA,Humboldt,,Humboldt County Resort Improvement District No. 1,Mike Bommer,9126 Shelter Cove Road,,Whitethorn,CA,95589,7079867447,,,Shelter Cove WWTF,06001055001,Public,18010107,Mattole,,2nd Congressional District,,CA0023027,Individual Permit,LOWER PACIFIC DRIVE AT WAVE ROAD,WINDSURF RD WHITEHORN CA 95589,SHELTER COVE,CA,95589,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,,40.0327 N,124.0798 W,North American Datum of 1983,Unknown,,NPDES Permit,,N,,1175221,Federal Accepted,Y,Y,Y,N,
24,9,CA,Sonoma,,"Cotati, City of",Steve Nommsen,Public Works Department,201 West Sierra Avenue,Cotati,CA,94931-4217,7077924610,7077924609,SNOMMSEN@CI.COTATI.CA.US,Cotati Collection System,06001062001,Public,18010110,Russian,,5th Congressional District,2nd Congressional District,,,,,,,,Laguna WWTP System,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Facility/Station Location,38.3238 N,122.707 W,North American Datum of 1927,Address Matching-House Number, ,Manual,07-OCT-02,N,San Francisco Estuary,1175222,Federal Accepted,Y,,,N,
25,9,CA,Siskiyou,,"DORRIS, CITY OF",Rick Bay,P.O. Box 768,,Dorris,CA,96023-0768,5303973511,,,DORRIS WWTF,06001064001,Public,18010205,Butte,,1st Congressional District,,,,307 South Main,,Dorris,CA,96023,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,41.968 N,121.917 W,North American Datum of 1983,Zipcode-Centroid, ,Manual,20-JUN-02,N,,1175223,Federal Accepted,Y,Y,Y,N,
26,9,CA,Siskiyou,,"ETNA, CITY OF",Kaye Austin,450 Main Street,,Etna,CA,96027,5304675266,,,Etna Wastewater Treatment Facility,06001065001,Public,18010208,Scott,,1st Congressional District,,,,Island Rd. ,,Etma,CA,96027,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,41.5703 N,122.8411 W,North American Datum of 1983,Address Matching-Other, ,Manual,21-SEP-01,N,,1175224,Federal Accepted,Y,Y,Y,N,
27,9,CA,Siskiyou,,Happy Camp Sanitary District,David Greenberg,P.O. Box 378,,Happy Camp,CA,96039,5304932920,5304935293,,Happy Camp WWTP,06001026001,Public,18010209,Lower Klamath,,1st Congressional District,,,,63804 California 96,,Happy Camp ,CA,96039,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,41.7751 N,123.3994 W,World Geodetic System of 1984,Address Matching-Block Face, ,Manual,10-NOV-04,N,,1175194,Federal Accepted,Y,Y,Y,N,
28,9,CA,Mendocino,,City of Willits,Larry Moran,111 East Commercial Street,,Willits,CA,95490,7074596812,,,Willits WWTF,06001027001,Public,18010103,Upper Eel,,2nd Congressional District,,CA0023060,Individual Permit,300 N LENORE AVE,,WILLITS,CA,95490,,,N,N,N,N,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,Single Point,Release Point,39.4206 N,123.34 W,North American Datum of 1983,GPS Carrier Phase Static Relative Position,,NPDES Permit,,N,,1175195,Federal Accepted,Y,Y,Y,N,Unincorporated areas
29,9,CA,Mendocino,,FT BRAGG MID,Jim Murphy,416 North Franklin Street,,Fort Bragg,CA,95437,7079612825,,,Fort Bragg WWTP,06001028001,Public,18010108,Big-Navarro-Garcia,,2nd Congressional District,,CA0023078,Individual Permit,101 WEST CYPRESS ST,W. OF OAK ST,FORT BRAGG,CA,95437,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,39.4391 N,123.8147 W,North American Datum of 1983,Interpolation-Map,,NPDES Permit,,N,,1175196,Federal Accepted,Y,Y,Y,N,
30,9,CA,Sonoma,,South Park County Sanitation District,Manuel T. Olvera,P.O. Box 11628,,Santa Rosa,CA,95406-1628,7075211819,,,South Park Collection System,06001030001,Public,18010110,Russian,,2nd Congressional District,,,,,,,,,,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Facility/Station Location,38.5277 N,123.0074 W,North American Datum of 1983,Zipcode-Centroid, ,Manual,01-OCT-01,N,San Francisco Estuary,1175198,Federal Accepted,N,,,N,
31,9,CA,Sonoma,,"SONOMA      ,COUNTYOF",Randy Poole,2150 West College Avenue,,Santa Rosa,CA,95401,7075265370,,,SONOMA CO AIRPORT WWTF,06001031001,Public,18010110,Russian,,5th Congressional District,,,,2102-2116 W College Ave,,Rosa,CA,95401,,,N,N,N,N,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,Single Point,Center/Centroid,38.445 N,122.7525 W,North American Datum of 1983,Address Matching-Other, ,Manual,21-SEP-01,N,San Francisco Estuary,1175199,Federal Accepted,Y,Y,Y,N,Ross
32,9,CA,Sonoma,,GRATON SANITATION ZONE,Kiergan Pegg,Graton Sanitation Zone,2150 W. College Ave.,Santa Rosa,CA,95401,7075211844,,,GRATON WWTF,06001032001,Public,18010110,Russian,,2nd Congressional District,,CA0023639,Individual Permit,250 ROSS LANE,"SCWA GRATON CSA NO. 2, ROSS  RD",SEBASTOPOL,CA,95472,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Facility/Station Location,38.4376 N,122.8699 W,North American Datum of 1983,Address Matching-House Number,,NPDES Permit,,N,San Francisco Estuary,1175200,Federal Accepted,Y,Y,Y,N,
33,9,CA,Sonoma,,"Rohnert Park, City of",George Koetke,Public Works Department,600 Enterprise Drive,Rohnert Park,CA,94928-2465,7075883316,7075883333,GKOETKE@RPCITY.ORG,Rohnert Park Collection System,06001037001,Public,18010110,Russian,,5th Congressional District,,,,,,,,,Laguna WWTP System,,N,N,N,N,"Collection: Separate Sewers, Recycled Water Distribution",Wastewater,,"Collection: Separate Sewers, Recycled Water Distribution",Wastewater,,Single Point,Facility Boundary,38.35 N,122.7167 W,North American Datum of 1983,Census-Other, ,Manual,07-OCT-02,N,San Francisco Estuary,1175203,Federal Accepted,N,,,N,
34,9,CA,Mendocino,,Covelo Community Services District,George Bennett,P.O. Box 65,,Covelo,CA,95428,7079836888,7079836888,COVELOCSD@HOTMAIL.COM,Covelo WWTP,06001040001,Public,18010104,Middle Fork Eel,,2nd Congressional District,,CA0023574,Individual Permit,76001 COMMERCIAL STREET,COVELO WWTP,COVELO,CA,95428,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,,39.7865 N,123.2439 W,North American Datum of 1983,Interpolation-Map,,NPDES Permit,,N,,1175205,Federal Accepted,Y,Y,Y,N,
35,9,CA,Sonoma,,Santa Rosa,Bob Harder,69 Stony Circle,,Santa Rosa,CA,95401,7075433941,7075433936,BHARDER@CI.SANTA-ROSA.CA.US,Santa Rosa Collection System,06001045002,Public,18010110,Russian,,2nd Congressional District,,,,,,,,,Laguna WWTP System,,N,N,N,N,Collection: Separate Sewers,Wastewater,,Collection: Separate Sewers,Wastewater,,Single Point,Facility/Station Location,38.506 N,122.7502 W,North American Datum of 1983,Zipcode-Centroid, ,Manual,01-OCT-01,N,San Francisco Estuary,1175210,Federal Accepted,N,,,N,
36,9,CA,Sonoma,,"SANTA ROSA, CITY OF",Scott Stinebaugh,4300 Llano Road,,Santa Rosa,CA,95407,7075433350,7075433399,WSCOTT@CI.SANTA-ROSA.CA.US,Oakmont WWTP,06001045003,Public,18010110,Russian,,5th Congressional District,,,,6374 Stone Bridge Rd,,Santa Rosa,CA,95409,,,N,N,N,N,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,Single Point,Center/Centroid,38.4458 N,122.6181 W,North American Datum of 1983,Address Matching-Other, ,Manual,21-SEP-01,N,San Francisco Estuary,1175211,Federal Accepted,Y,Y,Y,N,Unincorporated areas
37,9,CA,Mendocino,,POINT ARENA,Fred Patten,P.O.Box 67,,Poin Arena,CA,95468-0067,7078822122,,,POINT ARENA WWTF,06001048001,Public,18010108,Big-Navarro-Garcia,,2nd Congressional District,,,,38-42 Iverson Ave,,Point Arena,CA,95468,,,N,N,N,N,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,"Collection: Separate Sewers, Onsite Wastewater Treatment System, Treatment Plant","Decentralized Wastewater Treatment, Wastewater",,Single Point,Center/Centroid,38.9086 N,123.6961 W,North American Datum of 1983,Address Matching-Other, ,Manual,21-SEP-01,N,,1175214,Federal Accepted,Y,Y,Y,N,Point Arena
38,9,CA,Mendocino,,MENDOCINO CWWD NO 2,Alex Kovach,P.O. Box 787,,Point Arena,CA,95468-0787,,,,ANCHOR BAY WWTF,06001049001,Public,18010108,Big-Navarro-Garcia,,2nd Congressional District,,CA0024040,Individual Permit,46890 GETCHELL GULCH RD,,ANCHOR BAY,CA,95445,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Facility/Station Location,38.8034 N,123.5785 W,North American Datum of 1983,Address Matching-House Number,,NPDES Permit,,N,,1175215,Federal Accepted,Y,Y,Y,N,
39,9,CA,Mendocino,,Calpella County Water District,David Redding,P.O. Box 115,,Calpella,CA,95418-0115,7074622666,,,CALPELLA WWTP,06001050001,Public,18010110,Russian,,2nd Congressional District,,,,5681 N. State Street,,Calpella,CA,95418,,,N,N,N,N,"Collection: Separate Sewers, Treatment Plant",Wastewater,,"Collection: Separate Sewers, Treatment Plant",Wastewater,,Single Point,Center/Centroid,39.2247 N,123.2039 W,North American Datum of 1983,Address Matching-Other, ,Manual,21-SEP-01,N,,1175216,Federal Accepted,Y,Y,Y,N,
