CWNS Number,Facility/Project Name,Discharge Method,Present Discharge,Present Flow %,Present Discharge To Facility,Present Discharge To Facility Name,Present Effluent Treatment Level,Present Disinfection,Present BOD Removal,Present Nitrogen Removal,Present Phosphorous Removal,Present Ammonia Removal,Projected Discharge,Projected Flow %,Projected Discharge To Facility,Projected Discharge To Facility Name,Projected Effluent Treatment Level,Projected Disinfection,Projected BOD Removal,Projected Nitrogen Removal,Projected Phosphorous Removal,Projected Ammonia Removal,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
01000028001,CAMP HILL LAGOON,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0024210,Individual Permit,Town of Camp Hill,Tallapoosa,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
01000029001,CARBON HILL WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0024341,Individual Permit,Carbon Hill WWTP,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
01000031001,CARROLLTON HCR LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0020907,Individual Permit,Town of Carrollton,Pickens,Middle Tombigbee-Lubbub,03160106,7th Congressional District,AL,4,MAP
01000032001,CEDAR BLUFF WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0024678,Individual Permit,Town of Cedar Bluff Utilities Board,Cherokee,Upper Coosa,03150105,3rd Congressional District,AL,4,MAP
01000034001,CENTREVILLE-BRENT WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,,Y,,AL0044857,Individual Permit,City of Brent,Bibb,Cahaba,03150202,6th Congressional District,AL,4,MAP
01000035001,CHATOM LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0060453,Individual Permit,Chatom Utilities Board,Washington,Lower Tombigbee,03160203,1st Congressional District,AL,4,MAP
01000036001,CHICKASAW LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0020885,Individual Permit,The City of Chickasaw Utilities Board,Mobile,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
01000037001,CHILDERSBURG BAILEY BR LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0021466,Individual Permit,CHILDERSBURG WWS & Gas Board,Talladega,Lower Coosa,03150107,3rd Congressional District,AL,4,MAP
01000037002,CHILDERSBURG PINECREST LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0021458,Individual Permit,"CHILDERSBURG, WWS&GAS BD",Talladega,Middle Coosa,03150106,3rd Congressional District,AL,4,MAP
01000038001,CITRONELLE WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0060887,Individual Permit,South Alabama Utilities,Mobile,Escatawpa,03170008,1st Congressional District,AL,4,MAP
01000039001,COLLINSVILLE LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Secondary,Y,,,,,AL0024236,Individual Permit,Town of Collinsville,DeKalb,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
01000040001,COLUMBIANA WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0024589,Individual Permit,Columbiana Water Works,Shelby,Lower Coosa,03150107,6th Congressional District,AL,4,MAP
01000041001,CORDOVA WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0020427,Individual Permit,City of Cordova,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
01000043001,CULLMAN WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Advanced Treatment,Y,Y,,,Y,AL0050423,Individual Permit,CULLMAN CITY OF,Cullman,Mulberry,03160109,4th Congressional District,AL,4,MAP
01000044001,DAPHNE WATER RECLAMATION FACILITY,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0027561,Individual Permit,City of Daphne Utilities Board,Baldwin,Mobile - Tensaw,03160204,1st Congressional District,AL,4,MAP
01000045001,DECATUR DRY CREEK WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,Y,,Y,100,,,Advanced Treatment,N,Y,,Y,,AL0048593,Individual Permit,DECATUR UTILITIES,Morgan,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000046001,DEMOPOLIS WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0043168,Individual Permit,Demopolis Water Works & Sewer Board,Marengo,Middle Tombigbee-Chickasaw,03160201,7th Congressional District,AL,4,MAP
01000046002,DEMOPOLIS AIRPORT IND PARK WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,,,City of Demopolis Water Works & Sewer Board,Marengo,Middle Tombigbee-Chickasaw,03160201,7th Congressional District,AL,4,MAP
01000048001,EAST WALKER COUNTY WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0055409,Individual Permit,East Walker Sewer Authority,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
01000049002,DOTHAN OMMUSSEE CREEK WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,Y,,Y,Y,100,,,Advanced Treatment,N,Y,Y,Y,Y,AL0022764,Individual Permit,Dothan Utilities,Houston,Lower Chattahoochee,03130004,2nd Congressional District,AL,4,MAP
01000049005,DOTHAN LITTLE CHOCTAWHATCHEE WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,Y,Y,Y,Y,Y,Y,100,,,Advanced Treatment,Y,Y,Y,Y,Y,AL0047465,Individual Permit,Dothan Utilities,Houston,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
01000050001,DOUBLE SPRINGS WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0065480,Individual Permit,"DOUBLE SPRINGS, CITY OF",Winston,Sipsey Fork,03160110,4th Congressional District,AL,4,MAP
01000051001,ECLECTIC LAGOON & SPRAYFIELD,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0067903,Individual Permit,Town of Eclectic,Elmore,Lower Tallapoosa,03150110,2nd Congressional District,AL,4,MAP
01000054002,ENTERPRISE WWTP#2(COLLEGE),Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,AL0020036,Individual Permit,ENTERPRISE WWTP 2 COLLEGE ST,Coffee,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
01000054003,ENTERPRISE WWTP #3 (SE),Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,AL0020044,Individual Permit,ENTERPRISE SOUTHEAST LAGOON,Coffee,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
01000054004,ENTERPRISE WWTP #4 (NE),Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,AL0020061,Individual Permit,ENTERPRISE NORTHEAST LAGOON,Coffee,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
01000055004,EUTAW LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0044067,Individual Permit,"EUTAW, CITY OF",Greene,Lower Black Warrior,03160113,7th Congressional District,AL,4,MAP
01000057001,FAIRHOPE WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0020842,Individual Permit,"City of Fairhope, Alabama",Baldwin,Mobile Bay,03160205,1st Congressional District,AL,4,MAP
01000058001,FAYETTE WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0054640,Individual Permit,"FAYETTE, THE CITY OF",Fayette,Sipsey,03160107,4th Congressional District,AL,4,MAP
01000060001,FLOMATON LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0023493,Individual Permit,Town of Flomaton,Escambia,Escambia,03140305,1st Congressional District,AL,4,MAP
01000061001,DOTHAN CYPRESS CREEK WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Advanced Treatment,N,,,Y,,AL0072737,Individual Permit,Dothan Utilities,Houston,Chipola,03130012,2nd Congressional District,AL,4,MAP
01000062001,FOLEY WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,Y,,Y,Y,100,,,Advanced Treatment,N,Y,Y,,Y,AL0049042,Individual Permit,Riviera Utilities,Baldwin,Perdido Bay,03140107,1st Congressional District,AL,4,MAP
01000064001,FORT DEPOSIT LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Secondary,Y,,,,,AL0024155,Individual Permit,Fort Deposit Water Works and Sewer Board,Lowndes,Sepulga,03140303,7th Congressional District,AL,4,MAP
01000065001,FORT PAYNE WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0023311,Individual Permit,CITY OF FORT PAYNE,DeKalb,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
01000067001,GADSDEN WEST WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Secondary,Y,,,,,AL0053201,Individual Permit,The Water Works & Sewer Board - City of Gadsden,Etowah,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
01000067002,GADSDEN EAST WWTP,Discharge To Another Facility,N,,,,Secondary,Y,,,,,Y,100,1000067001,GADSDEN WEST WWTP,,,,,,,AL0022659,Individual Permit,The Water Works & Sewer Board - City of Gadsden,Etowah,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
01000067002,GADSDEN EAST WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,N,,,,,,,,,,AL0022659,Individual Permit,The Water Works & Sewer Board - City of Gadsden,Etowah,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
01000068001,GARDEN CITY WWTP,Outfall To Surface Waters,Y,100,,,Advanced Primary,Y,,,,,Y,100,,,Secondary,Y,,,,,AL0061280,Individual Permit,"GARDEN CITY, TOWN OF",Cullman,Mulberry,03160109,4th Congressional District,AL,4,MAP
01000070001,GLENCOE LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0021334,Individual Permit,GLENCOE WATERWORKS AND SEWER BOARD,Etowah,Middle Coosa,03150106,4th Congressional District,AL,4,MAP
01000071001,GOODWATER LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Secondary,Y,,,,,AL0023582,Individual Permit,GOODWATER WW & SB,Coosa,Lower Coosa,03150107,6th Congressional District,AL,4,MAP
01000072001,GRAYSVILLE PRUDES CR. WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,AL0056120,Individual Permit,Jefferson County Environmental Services Department,Jefferson,Locust,03160111,6th Congressional District,AL,4,MAP
01000073001,GREENSBORO LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0057193,Individual Permit,City of Greensboro Utilities Board,Hale,Lower Black Warrior,03160113,7th Congressional District,AL,4,MAP
01000074001,GULF SHORES WWTP,Spray Irrigation,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,AL0055841,Individual Permit,Utilites Board of the City of Gulf Shores,Baldwin,Perdido Bay,03140107,1st Congressional District,AL,4,MAP
01000074001,GULF SHORES WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,AL0055841,Individual Permit,Utilites Board of the City of Gulf Shores,Baldwin,Perdido Bay,03140107,1st Congressional District,AL,4,MAP
01000075001,GURLEY WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0070661,Individual Permit,Town of Gurley,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000076101,Beatrice WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0081175,Individual Permit,Beatrice WWTP,Monroe,Upper Alabama,03150201,1st Congressional District,AL,4,MAP
01000078001,HARTFORD LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0058947,Individual Permit,HARTFORD WATER SYSTEM,Geneva,Upper Choctawhatchee,03140201,2nd Congressional District,AL,4,MAP
01000079001,HARTSELLE SHOAL CREEK WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,Y,Y,,AL0054674,Individual Permit,Hartselle Utilities,Morgan,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000080001,HELENA WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Advanced Treatment,Y,Y,,Y,Y,AL0023116,Individual Permit,"HELENA, CITY OF, UB",Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
01000083001,HOOVER RIVERCHASE WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Advanced Treatment,Y,Y,,Y,Y,AL0041653,Individual Permit,City of Hoover,Jefferson,Cahaba,03150202,6th Congressional District,AL,4,MAP
01000083002,HOOVER INVERNESS WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Advanced Treatment,Y,Y,Y,Y,Y,AL0025852,Individual Permit,"HOOVER, CITY OF",Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
01000085001,HUNTSVILLE SPRING BRANCH WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0058394,Individual Permit,CITY OF HUNTSVILLE - WATER POLLUTION CONTROL,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000085002,HUNTSVILLE CHASE (#3) WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0057428,Individual Permit,CITY OF HUNTSVILLE - WATER POLLUTION CONTROL,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000085003,HUNTSVILLE ALDRIDGE CREEK WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0056855,Individual Permit,"HUNTSVILLE, CITY OF",Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000085005,HUNTSVILLE WESTERN AREA WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,AL0049531,Individual Permit,CITY OF HUNTSVILLE - WATER POLLUTION CONTROL,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000085007,HUNTSVILLE BIG COVE WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0055042,Individual Permit,"HUNTSVILLE, CITY OF",Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000086001,HURTSBORO HCR LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0020699,Individual Permit,TOWN OF HURTSBORO WATER AND SEWER BOARD,Russell,Middle Chattahooche,03130003,3rd Congressional District,AL,4,MAP
01000086101,Irondale WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0078395,Individual Permit,Irondale WWTP,Jefferson,Upper Black Warrior,03160112,6th Congressional District,AL,4,MAP
01000088001,Jasper Town Creek WWTP,Outfall To Surface Waters,Y,100,,,Secondary,Y,,,,,Y,100,,,Advanced Treatment,Y,Y,Y,Y,,AL0023418,Individual Permit,Jasper Waterworks & Sewer Board,Walker,Mulberry,03160109,4th Congressional District,AL,4,MAP
01000088200,Jeff Road WWTP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,Y,,Y,,,,Advanced Treatment,N,Y,,Y,,AL0068608,Individual Permit,Harvest-Monrovia Water & Fire Protection Authority,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000089001,JEMISON WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0059331,Individual Permit,Town of Jemison,Chilton,Cahaba,03150202,6th Congressional District,AL,4,MAP
01000093001,LA FAYETTE MILL CREEK WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0062839,Individual Permit,City of LaFayette,Chambers,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
01000094001,LANETT WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0023159,Individual Permit,"LANETT, CITY OF",Chambers,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,AL,4,MAP
01000098001,LINEVILLE LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0050644,Individual Permit,Lineville Water Sewer Board,Clay,Middle Tallapoosa,03150109,3rd Congressional District,AL,4,MAP
01000100001,LOCKHART SEWER COLLECTION  SYSTEM,Discharge To Another Facility,Y,100,1000276002,FLORALA/LOCKHART WWTP,Advanced Treatment,N,Y,,,Y,Y,100,1000276002,FLORALA/LOCKHART WWTP,Advanced Treatment,N,Y,,,Y,AL0031925,Individual Permit,"LOCKHART, TOWN OF",Covington,Yellow,03140103,2nd Congressional District,AL,4,MAP
01000101001,LOXLEY LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0060283,Individual Permit,Town of Loxley,Baldwin,Mobile Bay,03160205,1st Congressional District,AL,4,MAP
01000102001,MADISON WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0071897,Individual Permit,WATER AND WASTEWATER BOARD OF THE CITY OF MADISON,Madison,Wheeler Lake,06030002,5th Congressional District,AL,4,MAP
01000103001,MARGARET WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0078204,Individual Permit,Margaret WWTP,St. Clair,Cahaba,03150202,3rd Congressional District,AL,4,MAP
01000104004,MARION WWTP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,100,,,Advanced Treatment,N,Y,,,,AL0023809,Individual Permit,"Marion, City of",Perry,Cahaba,03150202,7th Congressional District,AL,4,MAP
01000109001,MONTEVALLO WWTP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,AL0023299,Individual Permit,Town of Montevallo,Shelby,Cahaba,03150202,6th Congressional District,AL,4,MAP
01000110001,MONTGOMERY CATOMA CREEK WWTP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,AL0027863,Individual Permit,MONTGOMERY WW & SAN SWR BD,Montgomery,Upper Alabama,03150201,2nd Congressional District,AL,4,MAP
