PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,CATEGORY
51129,Biosolids weight indluding admixtures,661,A,40,,Y,,Non-dissolved Solids
71870,Bromide [as Br],724,A,59,,Y,1,Inorganics
71871,"Bromine, reported as the element",725,A,59,,Y,1,Toxic Organics
81563,Butane,743,A,59,,Y,2,Toxic Organics
51929,Bypass of Treatment Facility,755,A,166,N,Y,,Other
51403,"Cadmium, percent removal",776,A,16,Y,Y,2,Metals
46395,"Cadmium, dry weight",776,A,101,,Y,2,Metals
61527,"Cadmium, sludge solid",776,A,59,,Y,2,Metals
61528,"Cadmium, sludge total",776,A,59,,Y,2,Metals
78244,"Cadmium [Cd], in barite, dry weight",776,A,59,,Y,,Metals
78476,"Cadmium, sludge, total, dry weight [as Cd]",776,A,101,,Y,2,Metals
1025,"Cadmium, dissolved [as Cd]",776,A,59,,Y,2,Metals
1027,"Cadmium, total [as Cd]",776,A,59,,Y,2,Metals
1028,"Cadmium, in bottom deposits [dry wgt]",776,A,59,,Y,2,Metals
1113,"Cadmium, total recoverable",776,A,59,,Y,2,Metals
1253,Cadmium,776,A,107,,Y,2,Metals
1313,"Cadmium, potentially dissolvd",776,A,59,,Y,2,Metals
1027D,"Cadmium, total [as Cd] [per discharge]",776,A,20,N,Y,2,Metals
405,Carbon dioxide [as CO2],814,A,59,,Y,1,Dissolved Oxygen
77041,Carbon disulfide,817,A,59,,Y,2,Dissolved Solids
73209,"Carbon disulfide, dry weight",817,A,59,,Y,,Dissolved Solids
81017,Chemical Oxygen Demand [COD],905,A,59,,Y,1,Organics
80103,Chemical oxygen demand [COD],905,A,108,,Y,,Organics
80108,Chemical oxygen demand [COD],905,I,59,,Y,1,Organics
80116,"Chemical oxygen demand, soluble",905,A,59,,Y,1,Organics
4141,"Chlorine, free residual, total effluent",928,A,59,,Y,2,Disinfectants
50060,"Chlorine, total residual",928,A,59,,Y,2,Disinfectants
50064,"Chlorine, free available",928,A,59,,Y,2,Disinfectants
50066,"Chlorine, combined available",928,A,59,,Y,2,Disinfectants
208,"Chlorine, total residual [dsg. time]",928,A,138,,Y,2,Disinfectants
61512,"Chromium, sludge solid",1012,A,59,,Y,2,Metals
61513,"Chromium, sludge total",1012,A,59,,Y,2,Metals
70028,"Chromium, total [as Cr]",1012,A,77,,Y,,Metals
82058,"Chromium, total percent removal",1012,A,16,Y,Y,2,Metals
82059,"Chromium, total",1012,A,114,,Y,2,Metals
78473,"Chromium, sludge, total, dry weight [as Cr]",1012,A,101,,Y,2,Metals
1024,"Chromium, total in bot dep [wet wgt]",1012,A,59,,Y,2,Metals
1029,"Chromium, total dry weight [as Cr]",1012,A,59,,Y,2,Metals
1030,"Chromium, dissolved [as Cr]",1012,A,59,,Y,2,Metals
1031,"Chromium, suspended [as Cr]",1012,A,59,,Y,2,Metals
1118,"Chromium, total recoverable",1012,A,59,,Y,2,Metals
1034,"Chromium, total [as Cr]",1012,A,59,,Y,2,Metals
1254,Chromium,1012,A,107,,Y,2,Metals
1034D,"Chromium, total [as Cr] [per discharge]",1012,A,20,N,Y,2,Metals
1034A,Chromium,1012,A,17,N,Y,2,Metals
51913,"Chromium, total [as Cr] [Can Production]",1012,A,179,N,Y,2,Metals
34320,Chrysene,1055,A,59,,Y,2,Toxic Organics
1035,"Cobalt, dissolved [as Co]",1090,A,59,,Y,1,Metals
1037,"Cobalt, total [as Co]",1090,A,59,,Y,1,Metals
979,"Cobalt, total recoverable",1090,A,59,,Y,2,Metals
94,Conductivity,1130,A,6,,Y,,Dissolved Solids
51402,"Copper, percent removal",1165,A,16,Y,Y,2,Metals
46394,"Copper, dry weight",1165,A,101,,Y,2,Metals
61506,"Copper, sludge solid",1165,A,59,,Y,2,Metals
61507,"Copper, sludge total",1165,A,59,,Y,2,Metals
78475,"Copper, sludge, total, dry weight [as Cu]",1165,A,101,,Y,1,Metals
159,"Copper, total per batch",1165,A,114,,Y,2,Metals
1119,"Copper, total recoverable",1165,A,59,,Y,2,Metals
1306,"Copper, potentially dissolved",1165,A,59,,Y,2,Metals
1040,"Copper, dissolved [as Cu]",1165,A,59,,Y,2,Metals
1041,"Copper, suspended [as Cu]",1165,A,59,,Y,2,Metals
1042,"Copper, total [as Cu]",1165,A,59,,Y,2,Metals
1043,Copper in bottom deposits [dry wgt],1165,A,59,,Y,2,Metals
1256,Copper,1165,A,107,,Y,2,Metals
1042D,"Copper, total [as Cu] [per discharge]",1165,A,20,N,Y,2,Metals
1119A,"Copper, total recoverable",1165,A,17,N,Y,2,Metals
51897,"Copper, calculated limit",1165,A,59,N,Y,2,Metals
61230,Cryptosporidium,1274,A,22,,Y,,Pathogens
51582,"Detergents, Total",1363,A,59,N,Y,1,Dissolved Oxygen
51555,Diethylene Glycol,1444,A,59,N,Y,2,Toxic Organics
51901,Date Discharge Began,1485,A,173,N,N,,Other
51783,Fecal Matter,1765,A,59,N,Y,,Pathogens
32016,"Fluoride, complex",1822,A,59,,Y,2,Dissolved Solids
32018,"Fluoride, free",1822,A,59,,Y,1,Dissolved Solids
949,Fluoride,1822,A,104,,Y,,Dissolved Solids
950,"Fluoride, dissolved [as F]",1822,A,59,,Y,1,Dissolved Solids
951,"Fluoride, total [as F]",1822,A,59,,Y,1,Dissolved Solids
51915,"Fluoride, total [as F] [Can Production]",1822,A,179,N,Y,1,Dissolved Solids
51684,Giardia,1916,A,96,N,Y,,Pathogens
51181,Glycol mix applied,1939,A,64,,Y,,Toxic Organics
71910,"Gold, total [as Au]",1942,A,59,,Y,2,Metals
51815,Grease,1956,A,156,N,N,1,FOG
31663,"Halogens, tot organics bottom sediment",1976,A,59,,Y,2,Non-dissolved Solids
78115,"Halogen, total organic",1976,A,59,,Y,2,Organics
81375,Halogenated organics,1976,A,59,,Y,2,Organics
78198,Heptane,2040,A,59,,Y,2,Toxic Organics
79862,n-Heptane,2040,A,59,,Y,,Toxic Organics
148,"Herbicides, total",2041,A,59,,Y,2,Toxic Organics
45504,"Hexane, sediment, dry weight",2049,A,59,,Y,,Toxic Organics
81590,Hexane,2049,A,59,,Y,2,Toxic Organics
81313,Hydrazine,2072,A,59,,Y,2,Toxic Organics
51766,Hydroxide,2111,A,59,N,Y,1,Toxic Organics
51904,Inorganic Pollutants,2200,A,59,N,Y,1,Toxic Organics
71867,"Iodine, residual",2208,A,59,,Y,2,Inorganics
71868,"Iodine, total",2208,A,59,,Y,2,Inorganics
4612,Iodinated Contrast Media,2208,A,59,N,Y,,Other
78474,"Iron, sludge, total, dry weight [as Fe]",2215,A,59,,Y,1,Metals
74010,"Iron, total [as Fe]",2215,A,59,,Y,1,Metals
147,"Iron, total per production",2215,A,103,,Y,1,Metals
160,"Iron, total per batch",2215,A,114,,Y,1,Metals
82218,"Iron, total percent removal",2215,A,16,Y,Y,1,Metals
82501,"Iron, dissolved from dry deposition",2215,A,59,,Y,1,Metals
1044,"Iron, suspended",2215,A,59,,Y,1,Metals
1045,"Iron, total [as Fe]",2215,A,59,,Y,1,Metals
1046,"Iron, dissolved [as Fe]",2215,A,59,,Y,1,Metals
980,"Iron, total recoverable",2215,A,59,,Y,1,Metals
1170,"Iron, total dry weight [as Fe]",2215,A,59,,Y,,Metals
1258,Iron,2215,A,107,,Y,1,Metals
1317,"Iron, potentially dissolvd",2215,A,59,,Y,1,Metals
1045T,Iron [total],2215,A,118,N,Y,1,Metals
51775,Iron oxide,2218,A,59,N,Y,1,Metals
52320,Total water irrigated,2220,A,95,,Y,,Other
1130,"Lithium, dissolved [as Li]",2374,A,59,,Y,1,Toxic Organics
1132,"Lithium, total [as Li]",2374,A,59,,Y,1,Toxic Organics
11123,"Manganese, total recoverable",2423,A,59,,Y,1,Metals
82060,"Manganese, total",2423,A,114,,Y,1,Metals
1053,Manganese in bottom deposits [dry wgt],2423,A,59,,Y,1,Metals
1054,"Manganese, suspended",2423,A,59,,Y,1,Metals
1055,"Manganese, total [as Mn]",2423,A,59,,Y,1,Metals
1056,"Manganese, dissolved [as Mn]",2423,A,59,,Y,1,Metals
1319,"Manganese, potentially dissolvd",2423,A,59,,Y,1,Metals
1055T,Manganese [total],2423,A,118,N,Y,1,Metals
51919,"Manganese, total [as Mn] [Can Production]",2423,A,179,N,Y,1,Metals
51083,"Manure remaining, gallons",2428,A,64,,Y,,Toxic Organics
51088,"Manure, wet tons removed",2428,A,40,,Y,,Toxic Organics
51089,"Manure, wet tons remaining",2428,A,40,,Y,,Toxic Organics
51090,"Manure, wet tons total",2428,A,40,,Y,,Toxic Organics
51091,"Manure solids, percent total",2428,A,16,,Y,,Non-dissolved Solids
79779,"Manure removed, gallons",2428,A,123,,Y,,Toxic Organics
50092,"Mercury, total low level",2448,A,59,,Y,2,Other
50286,"Mercury, total [low level]",2448,A,59,,Y,2,Other
78245,"Mercury [Hg], in barite, dry weight",2448,A,59,,Y,2,Metals
78471,"Mercury, sludge, total, dry weight [as Hg]",2448,A,101,,Y,2,Metals
71890,"Mercury, dissolved [as Hg]",2448,A,59,,Y,2,Metals
71900,"Mercury, total [as Hg]",2448,A,59,,Y,2,Metals
71901,"Mercury, total recoverable",2448,A,59,,Y,2,Metals
71921,"Mercury, tot in bot deposits [dry wgt]",2448,A,59,,Y,2,Metals
1260,Mercury,2448,A,107,,Y,2,Metals
1321,"Mercury, potentially dissolvd",2448,A,59,,Y,2,Metals
7190D,"Mercury, total [as Hg] [per discharge]",2448,A,20,N,Y,2,Metals
51868,Mercury minimization,2448,A,156,N,N,,Metals
7190A,"Mercury, total recoverable",2448,A,17,N,Y,2,Metals
46392,"Nickel, total sludge",2741,A,101,,Y,,Metals
61515,"Nickel, sludge solid",2741,A,59,,Y,2,Metals
61516,"Nickel, sludge total",2741,A,59,,Y,2,Metals
78469,"Nickel, sludge, total, dry weight [as Ni]",2741,A,101,,Y,1,Metals
161,"Nickel, total per batch",2741,A,114,,Y,2,Metals
1065,"Nickel, dissolved [as Ni]",2741,A,59,,Y,2,Metals
1066,"Nickel, suspended [as Ni]",2741,A,59,,Y,2,Metals
1067,"Nickel, total [as Ni]",2741,A,59,,Y,2,Metals
1068,"Nickel, tot in bottom deposits [dry wgt]",2741,A,59,,Y,2,Metals
1074,"Nickel, total recoverable",2741,A,59,,Y,2,Metals
1261,Nickel,2741,A,107,,Y,2,Metals
1322,"Nickel, potentially dissolvd",2741,A,59,,Y,2,Metals
1067D,"Nickel, total [as Ni] [per discharge]",2741,A,20,N,Y,2,Metals
1139,"Columbium, total",2760,A,59,,Y,2,Toxic Organics
1239,"Niobium, Total",2760,A,59,N,Y,2,Toxic Organics
71855,"Nitrogen, nitrite total [as NO2]",2806,A,59,,Y,1,Nutrients
51447,"Nitrogen, Nitrite  Total",2806,A,118,,Y,1,Nutrients
1298,"Nitrogen-nitrite in water, [pct]",2806,A,16,,Y,1,Toxic Organics
613,"Nitrite nitrogen, dissolved [as N]",2806,A,59,,Y,1,Nutrients
615,"Nitrogen, nitrite total [as N]",2806,A,59,,Y,1,Nutrients
49579,"Nitrogen, total Kjeldahl",2817,A,59,,Y,,Nutrients
51084,"Nitrogen, total available [water]",2817,A,59,,Y,,Nutrients
51087,"Nitrogen, Kjeldahl, total [TKN] [water]",2817,A,59,,Y,,Nutrients
51094,"Nitrogen, total available, [sludge]",2817,A,31,,Y,,Nutrients
51097,"Nitrogen, Kjeldahl, total [TKN], [sludge]",2817,A,31,,Y,,Nutrients
61533,Nitrogen sludge solid,2817,A,59,,Y,1,Nutrients
61534,Nitrogen sludge total,2817,A,59,,Y,1,Nutrients
81639,"Nitrogen Kjeldahl, total [TKN]",2817,A,100,,Y,,Nutrients
81393,"Nitrogen, total Kjeldahl, % removal",2817,A,16,Y,Y,1,Nutrients
78470,"Nitrogen, sludge, total, dry weight [as N]",2817,A,59,,Y,1,Nutrients
82385,Nitrogen oxides [as N],2817,A,59,,Y,1,Nutrients
82386,"Nitrogen, oxidized",2817,A,59,,Y,1,Nutrients
82539,"Nitrogen, Kjeldahl",2817,A,100,,Y,,Nutrients
51445,"Nitrogen, Total",2817,A,118,,Y,1,Nutrients
51449,"Nitrogen, Kjeldahl  Total",2817,A,118,,Y,1,Nutrients
600,"Nitrogen, total [as N]",2817,A,59,,Y,1,Nutrients
605,"Nitrogen, organic total [as N]",2817,A,59,,Y,1,Nutrients
607,"Nitrogen, organic, dissolved [as N]",2817,A,59,,Y,2,Nutrients
623,"Nitrogen, Kjeldahl, dissolved [as N]",2817,A,59,,Y,1,Nutrients
625,"Nitrogen, Kjeldahl, total [as N]",2817,A,59,,Y,1,Nutrients
640,"Nitrogen, inorganic total",2817,A,59,,Y,1,Nutrients
51670,"Nitrogen, total, percent removal [%]",2817,A,16,Y,N,,Nutrients
51662,"Nitrogen, Kjeldahl,Total  [TKN], insoluble",2817,A,59,N,Y,1,Nutrients
0625D,"Nitrogen, Kjeldahl, total [as N] [per discharge]",2817,A,20,N,Y,1,Nutrients
601,"Nitrogen, total",2817,A,100,N,Y,1,Nutrients
0600C,"Nitrogen, total [as N] [credit]",2817,A,59,N,Y,1,Nutrients
0600A,"Nitrogen, total [as N] [adjusted]",2817,A,59,N,Y,1,Nutrients
0600D,"Nitrogen, total [as N] [delivered]",2817,A,59,N,Y,1,Nutrients
600AQ,"Nitrogen, total [as N]",2817,A,109,N,Y,1,Nutrients
728,Sodium nitrite,2838,A,59,,Y,1,Dissolved Solids
78919,"Fuel oil, no. 2",2856,A,59,N,Y,1,FOG
51595,"Fuel oil, no. 6",2857,A,59,N,Y,1,FOG
46227,Organic Matter,2991,A,88,,Y,,Dissolved Oxygen
81299,"Organics, total",2991,A,59,,Y,2,Organics
81396,"Organic compounds, chloroform extract.",2991,A,59,,Y,2,Toxic Organics
51709,Overflows,3041,A,155,N,Y,,Other
76999,Ethylene oxide,3049,A,59,,Y,2,Toxic Organics
300,"Oxygen, dissolved [DO]",3051,A,59,,Y,,Dissolved Oxygen
51645,"Oxygen, dissolved [DO] minimum",3051,I,59,N,Y,,Dissolved Oxygen
51646,"Oxygen, dissolved [DO] maximum",3051,I,59,N,Y,,Dissolved Oxygen
51905,Oxygen Injected,3051,A,59,N,Y,1,Dissolved Oxygen
386,Ozone - residual,3054,A,59,,Y,1,Dissolved Oxygen
387,Ozone,3054,A,59,,Y,1,Dissolved Oxygen
51819,Organisms greater than or equal to 50 micrometers,3159,A,96,N,Y,,Pathogens
51820,Organisms less than 50 micrometers and greater than or equal to 10 micrometers,3159,A,96,N,Y,,Pathogens
51809,Pathogens,3159,A,96,N,Y,,Pathogens
61209,Perchlorate [ClO4],3215,A,59,,Y,,Toxic Organics
31667,"Oil petroleum, total recoverable",3256,A,59,N,Y,1,Toxic Organics
34694,Phenol,3321,A,59,,Y,2,Toxic Organics
51786,"Phenol, calculated limit",3321,A,59,N,Y,2,Toxic Organics
77819,Tri-n-butyl phosphate,3356,A,59,N,Y,2,Toxic Organics
82358,"Proprane, total",3494,A,59,,Y,2,Toxic Organics
77045,Pyridine,3541,A,59,,Y,2,Toxic Organics
73312,"Pyridine, dry weight",3541,A,59,,Y,,Toxic Organics
51698,Nalco H150M,3545,A,59,N,Y,2,Toxic Organics
189,Radioactivity,3565,A,9,,Y,,Other
82066,"Radioactivity, gross",3565,A,9,,Y,,Other
51767,"Radium, total",3569,A,9,N,Y,,Toxic Organics
51768,"Radium, dissolved",3569,A,9,N,Y,,Toxic Organics
82303,"Radon, total in water",3572,A,9,,Y,,Dissolved Oxygen
46529,Rainfall,3575,A,105,,Y,,Other
968,Sand in drilling fluids,3636,A,59,,Y,,Other
49031,"Selenium, sludge, total, dry weight [as Se]",3666,A,101,,Y,2,Metals
61518,"Selenium, sludge solid",3666,A,59,,Y,2,Metals
1145,"Selenium, dissolved [as Se]",3666,A,59,,Y,2,Metals
1147,"Selenium, total [as Se]",3666,A,59,,Y,2,Metals
1148,"Selenium, dry weight",3666,A,101,,Y,2,Metals
981,"Selenium, total recoverable",3666,A,59,,Y,2,Metals
1167,"Selenium, acid soluble",3666,A,59,,Y,2,pH
1323,"Selenium, potentially dissolvd",3666,A,59,,Y,2,Metals
51925,"SSO, Dry Weather",3697,A,166,N,Y,,Dissolved Oxygen
51926,"SSO, Wet Weather",3697,A,166,N,Y,,Dissolved Oxygen
51927,"Release [Sewer], Dry Weather",3697,A,166,N,Y,,Dissolved Oxygen
51928,"Release [Sewer], Wet Weather",3697,A,166,N,Y,,Toxic Organics
955,"Silica, dissolved [as SiO2]",3708,A,59,,Y,1,Non-dissolved Solids
956,"Silica, total [as SiO2]",3708,A,59,,Y,1,Non-dissolved Solids
51780,Silica [Silicone dioxide],3708,A,59,N,Y,1,Non-dissolved Solids
49561,"Silver, total dry weight, sludge mt",3714,A,101,,Y,,Metals
162,"Silver, total per batch",3714,A,114,,Y,2,Metals
1075,"Silver, dissolved [as Ag]",3714,A,59,,Y,2,Metals
1077,"Silver, total [as Ag]",3714,A,59,,Y,2,Metals
1078,Silver in bottom deposits [dry wgt],3714,A,59,,Y,2,Metals
1079,Silver total recoverable,3714,A,59,,Y,2,Metals
1304,"Silver, potentially dissolved",3714,A,59,,Y,2,Metals
1263,Silver,3714,A,107,,Y,2,Metals
1077D,"Silver, total [as Ag] [per discharge]",3714,A,20,N,Y,2,Metals
51884,Date of Storm Event,3887,A,173,N,N,,Dissolved Oxygen
51886,Hours Since Last Storm Event,3887,A,126,N,N,,Other
51865,"Sulfates, total [as SO4]",3907,A,59,N,Y,1,Dissolved Solids
80107,"Sulfur, total",3917,A,59,,Y,1,Toxic Organics
441,"Sulphur, total elemental",3917,A,59,,Y,1,Toxic Organics
51531,Sulfur Trioxide,3932,A,59,N,Y,1,Toxic Organics
82318,"Tantalum, total",4008,A,59,,Y,,Toxic Organics
34480,Thallium in bottom deposits [dry wgt],4068,A,59,,Y,2,Metals
982,"Thallium, total recoverable",4068,A,59,,Y,2,Metals
1057,"Thallium, dissolved [as Tl]",4068,A,59,,Y,2,Metals
1059,"Thallium, total [as Tl]",4068,A,59,,Y,2,Metals
1124,"Thallium, acid soluble",4068,A,59,,Y,2,pH
1128,"Vanadium, total recoverable",4068,A,59,,Y,1,Metals
1324,"Thallium, potentially dissolvd",4068,A,59,,Y,2,Metals
51787,"Thallium, calculated limit",4068,A,59,N,Y,2,Metals
78737,Thermal discharge,4073,I,3,,Y,,Temperature
51433,Thermal Discharge,4073,I,3,N,Y,,Temperature
15,Thermal Discharge,4073,A,74,N,Y,,Temperature
17,Thermal Discharge,4073,A,73,N,Y,,Temperature
51414,Thermal Discharge,4073,A,67,N,Y,,Temperature
73647,Thiourea,4078,A,59,N,Y,2,Nutrients
22501,Thorium [Thorium-232],4082,A,9,,Y,,Metals
26631,Thorium 232 pci/g of dry solids,4082,A,36,,Y,2,Non-dissolved Solids
984,"Titanium, total recoverable",4088,A,59,,Y,,Metals
1150,"Titanium, dissolved [as Ti]",4088,A,59,,Y,2,Metals
1152,"Titanium, total [as Ti]",4088,A,59,,Y,2,Metals
1153,"Titanium, total dry weight [as Ti]",4088,A,59,,Y,2,Metals
31501,"Coliform, total MF, immed, m-endo med 35 C",4146,A,22,,Y,,Toxic Organics
31502,"Coliform, total 10/mL",4146,A,22,,Y,,Toxic Organics
31503,"Coliform, total MF, delayed, m-endo med",4146,A,22,,Y,,Toxic Organics
31504,"Coliform, total MF, immed, les endo agar",4146,A,22,,Y,,Toxic Organics
31505,"Coliform, tot, MPN, completed, [100 mL]",4146,A,22,,Y,,Toxic Organics
74056,"Coliform, total general",4146,A,22,,Y,,Toxic Organics
51694,"Coliform, total - % samples exceeding limit",4146,A,16,N,Y,,Toxic Organics
70295,"Solids, total dissolved",4151,A,59,,Y,1,Non-dissolved Solids
70296,"Solids, total dissolved [TDS]",4151,A,108,,Y,1,Dissolved Solids
70300,"Solids, total dissolved- 180 deg. C",4151,A,59,,Y,1,Non-dissolved Solids
82063,"Residue, total filterable",4151,A,114,,Y,1,Toxic Organics
81015,"Residue, total filterable",4151,A,59,,Y,1,Toxic Organics
39400,Toxaphene,4234,A,59,,Y,2,Toxic Organics
39403,"Toxaphene, dry weight",4234,A,59,,Y,2,Toxic Organics
4270,"Chronic toxicity, daphnia magnia 21 dy",4245,A,16,,Y,,Total Toxics
3598,Toxicity,4245,A,153,,Y,,Total Toxics
61425,"Toxicity [acute], Ceriodaphnia dubia",4245,A,153,,Y,,Total Toxics
61426,"Toxicity [chronic], Ceriodaphnia dubia",4245,A,153,,Y,,Total Toxics
61427,"Toxicity [acute], Pimephales promelas [Fathead Minnow]",4245,A,153,,Y,,Total Toxics
61428,"Toxicity [chronic], Pimephales promelas [Fathead Minnow]",4245,A,153,,Y,,Total Toxics
187,Toxicity,4245,A,59,,Y,,Total Toxics
61423,"Toxicity [chronic], Ceriodaphnia dubia",4245,A,16,N,Y,,Total Toxics
61424,"Toxicity [chronic], Pimephales promelas [Fathead Minnow]",4245,A,16,N,Y,,Total Toxics
51565,"1,2,3-Trimethyl Benzene",4324,A,59,N,Y,2,Toxic Organics
71800,Urea,4419,A,59,,Y,2,Nutrients
82061,"Vanadium, total",4448,A,114,,Y,1,Metals
1085,"Vanadium, dissolved [as V]",4448,A,59,,Y,1,Metals
1086,"Vanadium, suspended [as V]",4448,A,59,,Y,1,Metals
1087,"Vanadium, total [as V]",4448,A,59,,Y,1,Metals
1088,"Vanadium, total dry weight [as V]",4448,A,59,,Y,1,Metals
72049,Freshwater in drilling fluids,4647,A,59,,Y,,Other
22414,Whole effluent toxicity,4677,A,181,,Y,,Total Toxics
22415,Whole effluent toxicity - retest #1,4677,A,55,,N,,Total Toxics
22416,Whole effluent toxicity - retest #2,4677,A,55,,N,,Total Toxics
